txid;index;created_block;value;fanin;fanout;fanout_share;total_value;spent_block;life;label
d1a1ea0d7a5b8a56a86b8fc02b6e1afdf15a905a7c20fe7a691570fa8eab9a05;97;587217;7.03906111;1;101;0.0380180088330386;185.15070426000005;643511;56294;1
e204171d43f8fd8f21040a029a858096a8e848886dd2cb13ac55ca52f0422834;0;643500;18.02497766;25;1;1.0;18.02497766;643513;13;0
65603b9876774d9994ebc41e1c77d5c7c62297dd78e102d88ce9ef737864b802;0;643505;13.71208108;30;2;0.8653137817690272;15.846368530000001;643508;3;0
94ab37edc167ef8891015597a1151f78d6e52eb37f773ddbf625c5539cdf61d7;14;643514;0.00739211;6;41;0.002448527392179557;3.0190023699999995;643514;0;0
b0ac4b9f98634e51d1e27944824c639e99d6a8ebb072f9125763f6e0741cc892;604;590325;0.01009073;1;1511;0.00013299128325276844;75.87512319000008;643498;53173;1
9d45a3aa43d306e958448efc5fa5aeb42a1845766449a86385ed3e929d10f153;86;500244;0.0013566;1;101;1.6474491370629547e-05;82.34548608999997;643500;143256;1
a8263db38695bdd9df86da4d85653978968a97d086b8f7a116055d5d2aceae35;858;544833;0.03751133;5;955;0.0007502315845386492;49.9996677999999;643519;98686;1
e81f9576e15cc3e35a3219352de477c06dba82163718a1fb3da14b53e550e947;0;588101;0.01429699;7;1;1.0;0.01429699;643504;55403;1
9610aa35d2c6c78c72cadf6162967e60eb2aec4ebf1556c7ac8346687470a64e;64;461667;0.00857838;1;101;0.007667566080533516;1.1187878799999997;643501;181834;1
75611d2eed8ba2fb2b1132941678d6635eea9b9ffaddefdc236c377052c9fe42;0;489950;0.05187909;2;1;1.0;0.05187909;643508;153558;1
4b6eca9d694466db3c07dc0dc5db2627e7aebf3e9e3782b5cc59e8e0286dfbbf;0;643424;0.00216925;1;2;0.06518886213318213;0.033276389999999996;643496;72;0
a6d8908fe9a115d854252ccc49604c86d2ea07e9d41f3dc7c61b55ad04f492aa;421;550260;0.04049759;5;968;0.0008099572529562107;49.999663379999944;643519;93259;1
4ce9f53c2908ef08bd0fcc66bf73baa658e66645299434c564508fe29ecfd8ef;35;508784;0.00127207;1;101;4.188144286249468e-06;303.7311785500001;643500;134716;1
ac01507ee27ba4d95c2b1b283b07133db45d18e6d6e2486fa32d5c583a5738ff;402;567434;0.04656491;7;968;0.000665216227058949;69.99966041999994;643519;76085;1
9e4dea16683f051c99c7e0bc8326f68714744f7e66d5219dd7d6622288009275;12;643470;0.26565571;1;53;0.018052976527508646;14.71534124;643500;30;0
7746d8533eaf6925604f364a7721d78be98bc42eb991d2e18ae57538e0f6d95a;43;580648;0.00239164;5;201;0.0011464954278435;2.0860440799999997;643497;62849;1
